timestamp,lot_id,wafer_id,tool_id,chamber,recipe_id,recipe_version,metric_name,value,center_line,ucl,lcl,is_ooc,anomaly_type
2026-02-08T00:00:00+00:00,LOT-SYN-001,W01,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.5600,41.5000,42.2000,40.8000,false,normal
2026-02-08T00:15:00+00:00,LOT-SYN-001,W02,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.5866,41.5000,42.2000,40.8000,false,normal
2026-02-08T00:30:00+00:00,LOT-SYN-001,W03,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6060,41.5000,42.2000,40.8000,false,normal
2026-02-08T00:45:00+00:00,LOT-SYN-001,W04,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6187,41.5000,42.2000,40.8000,false,normal
2026-02-08T01:00:00+00:00,LOT-SYN-001,W05,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6254,41.5000,42.2000,40.8000,false,normal
2026-02-08T01:15:00+00:00,LOT-SYN-001,W06,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6275,41.5000,42.2000,40.8000,false,normal
2026-02-08T01:30:00+00:00,LOT-SYN-001,W07,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6265,41.5000,42.2000,40.8000,false,normal
2026-02-08T01:45:00+00:00,LOT-SYN-001,W08,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6241,41.5000,42.2000,40.8000,false,normal
2026-02-08T02:00:00+00:00,LOT-SYN-001,W09,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6216,41.5000,42.2000,40.8000,false,normal
2026-02-08T02:15:00+00:00,LOT-SYN-001,W10,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6201,41.5000,42.2000,40.8000,false,normal
2026-02-08T02:30:00+00:00,LOT-SYN-001,W11,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6203,41.5000,42.2000,40.8000,false,normal
2026-02-08T02:45:00+00:00,LOT-SYN-001,W12,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6219,41.5000,42.2000,40.8000,false,normal
2026-02-08T03:00:00+00:00,LOT-SYN-001,W13,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6245,41.5000,42.2000,40.8000,false,normal
2026-02-08T03:15:00+00:00,LOT-SYN-001,W14,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6268,41.5000,42.2000,40.8000,false,normal
2026-02-08T03:30:00+00:00,LOT-SYN-001,W15,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6274,41.5000,42.2000,40.8000,false,normal
2026-02-08T03:45:00+00:00,LOT-SYN-001,W16,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6247,41.5000,42.2000,40.8000,false,normal
2026-02-08T04:00:00+00:00,LOT-SYN-001,W17,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6172,41.5000,42.2000,40.8000,false,normal
2026-02-08T04:15:00+00:00,LOT-SYN-001,W18,ETCH-03,B,ETCH-ALPHA,V2.3,chamber_pressure_mTorr,41.6036,41.5000,42.2000,40.8000,false,normal
